number,title,slug,batch,inventory,html_github,cdn_normalized,visual,r2_upload,integration,qa,publish,notes
34,Merancang RENSTRA Sekolah Islam,merancang-renstra-sekolah-islam,backlog,complete,complete,complete,not-started,not-started,not-started,pending,pending,
35,Transformasi Kesiswaan dan Budaya Sekolah Islam melalui Disiplin Positif,transformasi-kesiswaan-dan-budaya-sekolah-islam-melalui-disiplin-positif,backlog,complete,complete,complete,not-started,not-started,not-started,pending,pending,
36,Membangun Sistem Administrasi Keuangan Sekolah yang Tertib dan Akuntabel,membangun-sistem-administrasi-keuangan-sekolah-yang-tertib-dan-akuntabel,backlog,complete,complete,complete,not-started,not-started,not-started,pending,pending,
37,Desain Sekolah Quran yang Unggul,desain-sekolah-quran-yang-unggul,backlog,complete,complete,complete,not-started,not-started,not-started,pending,pending,
38,Pencegahan dan Penanganan Masalah Kesehatan Mental dan LGBTQ+ di Sekolah Islam,pencegahan-dan-penanganan-masalah-kesehatan-mental-dan-lgbtq-di-sekolah-islam,backlog,complete,complete,complete,not-started,not-started,not-started,pending,pending,
39,Sistem Deteksi Dini Masalah Siswa,sistem-deteksi-dini-masalah-siswa,pilot-01,complete,complete,complete,complete,uploaded,complete,passed,published,"Komposisi direvisi lebih lebar agar skala visual setara pilot 001; aset WebP v2 terverifikasi HTTP 200, image/webp, 147150 byte."
40,Menangani Komplain dengan Elegan - Strategi Membangun Citra Positif Sekolah Islam,menangani-komplain-dengan-elegan-strategi-membangun-citra-positif-sekolah-islam,backlog,complete,complete,complete,not-started,not-started,not-started,pending,pending,
41,Memotivasi Siswa Tanpa Paksaan - Pendekatan Konseling Positif di Kelas,memotivasi-siswa-tanpa-paksaan-pendekatan-konseling-positif-di-kelas,backlog,complete,complete,complete,not-started,not-started,not-started,pending,pending,
42,Membuat Siswa Mau Belajar,membuat-siswa-mau-belajar,backlog,complete,complete,complete,not-started,not-started,not-started,pending,pending,
43,3 Pegangan Guru dalam Mendidik,3-pegangan-guru-dalam-mendidik,backlog,complete,complete,complete,not-started,not-started,not-started,pending,pending,
44,Strategi Kepemimpinan Sekolah Islam,strategi-kepemimpinan-sekolah-islam,backlog,complete,complete,complete,not-started,not-started,not-started,pending,pending,
45,Membangun Sekolah Islam Internasional - Strategi dan Harapan Baru Orang Tua,membangun-sekolah-islam-internasional-strategi-dan-harapan-baru-orang-tua,backlog,complete,complete,complete,not-started,not-started,not-started,pending,pending,
46,Strategi Penguatan Mental dan Motivasi Siswa di Sekolah Islam,strategi-penguatan-mental-dan-motivasi-siswa-di-sekolah-islam,backlog,complete,complete,complete,not-started,not-started,not-started,pending,pending,
47,Kepemimpinan Mutu Pembelajaran di Sekolah Islam,kepemimpinan-mutu-pembelajaran-di-sekolah-islam,backlog,complete,complete,complete,not-started,not-started,not-started,pending,pending,
48,"LITBANG Sekolah Islam Menguatkan Mutu KBM, Layanan, dan Promosi",litbang-sekolah-islam-menguatkan-mutu-kbm-layanan-dan-promosi,backlog,complete,complete,complete,not-started,not-started,not-started,pending,pending,
49,"Membangun Ekosistem Sekolah Islam Bebas Bullying, Stres, dan LGBT",membangun-ekosistem-sekolah-islam-bebas-bullying-stres-dan-lgbt,backlog,complete,complete,complete,not-started,not-started,not-started,pending,pending,
50,Mengenali dan Mengatasi Kesulitan Belajar Anak,mengenali-dan-mengatasi-kesulitan-belajar-anak,backlog,complete,complete,complete,not-started,not-started,not-started,pending,pending,
51,Formula One Stop Schooling,formula-one-stop-schooling,backlog,complete,complete,complete,not-started,not-started,not-started,pending,pending,
52,"Membangun Tim Guru dan Tendik yang Solid, Produktif, & Loyal",membangun-tim-guru-dan-tendik-yang-solid-produktif-dan-loyal,backlog,complete,complete,complete,not-started,not-started,not-started,pending,pending,
53,Supervisi yang Berdampak,supervisi-yang-berdampak,pilot-01,complete,complete,complete,complete,uploaded,complete,passed,published,"URL R2 terverifikasi HTTP 200, image/webp, 183008 byte."
54,Blueprint SPMB Sekolah Islam - Kepemimpinan Strategis dari Perencanaan hingga Murid Bergabung,blueprint-spmb-sekolah-islam-kepemimpinan-strategis-dari-perencanaan-hingga-murid-bergabung,backlog,complete,complete,complete,not-started,not-started,not-started,pending,pending,
